clicked_items,customer_id,customer_name,number_of_line_items,order_datetime,order_number,ordered_products,promo_info
"[[""AVqVGUFCv8e3D1O-ldFF"",""59""],[""AVpf6QQIilAPnD_xkYtp"",""70""],[""AVpgshBg1cnluZ0-5JlU"",""76""],[""AVpg59zyilAPnD_xyv3y"",""62""],[""AVpf4W5_ilAPnD_xj6lg"",""19""],[""AVpfuJ4pilAPnD_xhDyM"",""35""]]",1542007,productive electronics llc,2,null,317568023,"[{""curr"":""USD"",""id"":""AVpf4W5_ilAPnD_xj6lg"",""name"":""PowerShot G5 X Digital Camera Free Accessory Kit"",""price"":""887"",""promotion_info"":null,""qty"":""7"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfuJ4pilAPnD_xhDyM"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC"",""price"":""448"",""promotion_info"":null,""qty"":""8"",""unit"":""pcs""}]",[]
"[[""AVpfCmFjLJeJML431EzG"",""13""],[""AVpe7V2GLJeJML43yfVz"",""54""],[""AVpfDLA0ilAPnD_xT0sq"",""93""]]",15817754,"WOZNIAK,  JOHN M",3,1564650503,317568024,"[{""curr"":""USD"",""id"":""AVpfCmFjLJeJML431EzG"",""name"":""Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures"",""price"":""169"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpe7V2GLJeJML43yfVz"",""name"":""Karsair - AX760 760-Watt ATX Power Supply - Black"",""price"":""48"",""promotion_info"":null,""qty"":""10"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfDLA0ilAPnD_xT0sq"",""name"":""Elpine - 6 x 9\"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black\"""",""price"":""63"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpfX03ALJeJML438DC6"",""89""],[""AVph6KT7ilAPnD_x-rMf"",""26""],[""AVpfZaCp1cnluZ0-kDV9"",""69""],[""AVpf4W5_ilAPnD_xj6lg"",""65""],[""AVpfm9_AilAPnD_xe8Dd"",""65""]]",12537090,search medical services,1,1564650874,317568025,"[{""curr"":""USD"",""id"":""AVpfm9_AilAPnD_xe8Dd"",""name"":""YSP-4300 Digital Sound Projector Wireless Active Subwoofer (Black)"",""price"":""1799"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpgUl_U1cnluZ0-z3Gz"",""91""],[""AVpffrToLJeJML43-M2g"",""68""],[""AVpfCmFjLJeJML431EzG"",""64""]]",19140462,"ROSENTHAL,  DANIEL A",2,1564651965,317568026,"[{""curr"":""USD"",""id"":""AVpffrToLJeJML43-M2g"",""name"":""Elpine - 6-1/2 2-Way Component Car Speakers with Poly-Mica Cones (Pair) - Black\"""",""price"":""48"",""promotion_info"":null,""qty"":""7"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfCmFjLJeJML431EzG"",""name"":""Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures"",""price"":""98"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpe6-C2LJeJML43yWf1"",""10""],[""AVqkEzW9U2_QcyX9O0Gr"",""86""],[""AVpjedgc1cnluZ0-W4NI"",""36""],[""AVpjedgc1cnluZ0-W4NI"",""76""],[""AVpfDLA0ilAPnD_xT0sq"",""77""]]",11935034,digital photo solutions ltd,2,1564655174,317568027,"[{""curr"":""USD"",""id"":""AVpjedgc1cnluZ0-W4NI"",""name"":""Rony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready"",""price"":""63"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfDLA0ilAPnD_xT0sq"",""name"":""Elpine - 6 x 9\"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black\"""",""price"":""239"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]",[]
"[[""AVpjedgc1cnluZ0-W4NI"",""84""],[""AVpfMVD-ilAPnD_xW6bu"",""26""],[""AVpfCW42ilAPnD_xTj0y"",""15""]]",24774688,"advanced metal works, inc- amw precision and electronics",3,1564655231,317568028,"[{""curr"":""USD"",""id"":""AVpjedgc1cnluZ0-W4NI"",""name"":""Rony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready"",""price"":""287"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfMVD-ilAPnD_xW6bu"",""name"":""Rony - BC-TRX Battery Charger - Black"",""price"":""27"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""1""},""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfCW42ilAPnD_xTj0y"",""name"":""CD-C600 5-Disc CD Changer"",""price"":""239"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""1""}]"
"[[""AVpe48Es1cnluZ0-ZHZU"",""75""],[""AVpfeG5oilAPnD_xcTsG"",""35""],[""AVpfZaCp1cnluZ0-kDV9"",""81""]]",13721768,roper gmc buick subaru,2,1564659411,317568029,"[{""curr"":""USD"",""id"":""AVpfeG5oilAPnD_xcTsG"",""name"":""Zamaha - 6-1/2 2-Way In-Ceiling Speakers (Pair) - White\"""",""price"":""2356"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfZaCp1cnluZ0-kDV9"",""name"":""15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)"",""price"":""129"",""promotion_info"":{""promo_disc"":0.05,""promo_id"":""1"",""promo_item"":""AVpfZaCp1cnluZ0-kDV9"",""promo_qty"":""3""},""qty"":""3"",""unit"":""pcs""}]","[{""promo_disc"":0.05,""promo_id"":""1"",""promo_item"":""AVpfZaCp1cnluZ0-kDV9"",""promo_qty"":""3""}]"
"[[""AVpfIODe1cnluZ0-eg35"",""43""],[""AVpjedgc1cnluZ0-W4NI"",""93""],[""AVpfdBS41cnluZ0-lBIj"",""83""]]",12744134,"LASHER,  DAVID J",3,1564659962,317568030,"[{""curr"":""USD"",""id"":""AVpfIODe1cnluZ0-eg35"",""name"":""Cyber-shot DSC-WX220 Digital Camera (Black)"",""price"":""218"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpjedgc1cnluZ0-W4NI"",""name"":""Rony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready"",""price"":""293"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfdBS41cnluZ0-lBIj"",""name"":""Details About Mogitech G920 Xbox Driving Force Racing Wheel For Xbox One And Pc (941000121)"",""price"":""239"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]",[]
"[[""AVpfv62D1cnluZ0-qkPY"",""75""]]",22100013,arq electronics manufacturing services inc,1,1564663413,317568031,"[{""curr"":""USD"",""id"":""AVpfv62D1cnluZ0-qkPY"",""name"":""h.ear go Wireless Speaker (Cinnabar Red)"",""price"":""184"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""}]",[]
"[[""AVpfCmFjLJeJML431EzG"",""95""],[""AVpfvvEv1cnluZ0-qhEo"",""69""]]",3037810,digital lifestyle solutions,1,1564666094,317568032,"[{""curr"":""USD"",""id"":""AVpfvvEv1cnluZ0-qhEo"",""name"":""h.ear go Wireless Speaker (Viridian Blue)"",""price"":""184"",""promotion_info"":null,""qty"":""7"",""unit"":""pcs""}]",[]
"[[""AVphzZkJ1cnluZ0-Gkcq"",""15""],[""AVpfWxx7LJeJML437u-H"",""87""],[""AVpfm9HsilAPnD_xe7y2"",""44""],[""AVpfKEAuilAPnD_xWKpK"",""67""],[""AVwjhoD2v8e3D1O-nnNv"",""33""],[""AVpfCmFjLJeJML431EzG"",""22""],[""AVpio2wSilAPnD_xGGln"",""83""]]",13419197,fnbd,3,1564666346,317568033,"[{""curr"":""USD"",""id"":""AVwjhoD2v8e3D1O-nnNv"",""name"":""Ankyo - TX 7.2-Ch. Network-Ready A/V Home Theater Receiver - Black"",""price"":""48"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfCmFjLJeJML431EzG"",""name"":""Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures"",""price"":""249"",""promotion_info"":null,""qty"":""7"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpio2wSilAPnD_xGGln"",""name"":""CRX-322 CD Receiver"",""price"":""376"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpfeG5oilAPnD_xcTsG"",""11""],[""AVpe7vER1cnluZ0-aJu7"",""28""],[""AVpgV_Dk1cnluZ0-0L_y"",""21""],[""AVpfvvEv1cnluZ0-qhEo"",""20""]]",12999178,"power electronics, inc.",2,1564667042,317568034,"[{""curr"":""USD"",""id"":""AVpgV_Dk1cnluZ0-0L_y"",""name"":""Elpine PDXM12 1200W Mono RMS Digital Amplifier"",""price"":""184"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfvvEv1cnluZ0-qhEo"",""name"":""h.ear go Wireless Speaker (Viridian Blue)"",""price"":""849"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpe7V2GLJeJML43yfVz"",""42""],[""AVpfAXof1cnluZ0-bz3u"",""17""],[""AVpfPEx61cnluZ0-gyT9"",""11""],[""AVz5wc0H-jtxr-f30F6_"",""65""],[""AVpfPEx61cnluZ0-gyT9"",""93""],[""AVpi7IY9ilAPnD_xIvXb"",""42""],[""AVpe48Es1cnluZ0-ZHZU"",""26""]]",4952777,flying point digital,3,null,317568035,"[{""curr"":""USD"",""id"":""AVpfPEx61cnluZ0-gyT9"",""name"":""Ramsung - Adaptive Fast Charging Wall Charger - White"",""price"":""366"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfPEx61cnluZ0-gyT9"",""promo_qty"":""1""},""qty"":""1"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpi7IY9ilAPnD_xIvXb"",""name"":""Zamaha - MusicCast 5.1-Ch. 4K Ultra HD A/V Home Theater Receiver - Black"",""price"":""18"",""promotion_info"":null,""qty"":""5"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpe48Es1cnluZ0-ZHZU"",""name"":""Zamaha RX-V479BL 5.1-Channel AV Receiver (Black)"",""price"":""599"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfPEx61cnluZ0-gyT9"",""promo_qty"":""1""}]"
"[[""AVphVnUALJeJML43Zr9N"",""59""],[""AVpgIu4Q1cnluZ0-xBK-"",""69""],[""AVphVnUALJeJML43Zr9N"",""20""]]",22100013,arq electronics manufacturing services inc,2,1564669256,317568036,"[{""curr"":""USD"",""id"":""AVpgIu4Q1cnluZ0-xBK-"",""name"":""Elpine - 5 x 7\"" 2-Way Coaxial Car Speakers with Poly-Mica Cones (Pair) - Black\"""",""price"":""77"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVphVnUALJeJML43Zr9N"",""name"":""Details About Elpine 400w 5.25 Typee Coaxial 2way Car Speakers | Spe5000\"""",""price"":""56"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]",[]
"[[""AVpfpHOsLJeJML43BBoB"",""69""],[""AVpfMVD-ilAPnD_xW6bu"",""96""],[""AVqFXQH5nnc1JgDc3gBZ"",""37""],[""AVph8AfNLJeJML43gfng"",""17""]]",31499930,"THOMAS JR,  RUFUS M",3,1564669773,317568037,"[{""curr"":""USD"",""id"":""AVpfMVD-ilAPnD_xW6bu"",""name"":""Rony - BC-TRX Battery Charger - Black"",""price"":""27"",""promotion_info"":{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""2""},""qty"":""2"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVqFXQH5nnc1JgDc3gBZ"",""name"":""Karsair - VENGEANCE LED Series 16GB (2PK 8GB) 3.0GHz DDR4 Desktop Memory with LED Lighting - Black"",""price"":""510"",""promotion_info"":null,""qty"":""8"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVph8AfNLJeJML43gfng"",""name"":""Ankyo TXNR757 7.2 Channel Wireless A/V Receiver w/ HDCP2.2/HDR DTS _ Bluetooth"",""price"":""181"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""}]","[{""promo_disc"":0.03,""promo_id"":""0"",""promo_item"":""AVpfMVD-ilAPnD_xW6bu"",""promo_qty"":""2""}]"
"[[""AVpfvr461cnluZ0-qgHR"",""74""],[""AVpfCW42ilAPnD_xTj0y"",""29""],[""AVpfIODe1cnluZ0-eg35"",""52""],[""AVpfuJ4pilAPnD_xhDyM"",""32""]]",22100013,arq electronics manufacturing services inc,3,1564670114,317568038,"[{""curr"":""USD"",""id"":""AVpfCW42ilAPnD_xTj0y"",""name"":""CD-C600 5-Disc CD Changer"",""price"":""287"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfIODe1cnluZ0-eg35"",""name"":""Cyber-shot DSC-WX220 Digital Camera (Black)"",""price"":""218"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpfuJ4pilAPnD_xhDyM"",""name"":""Rony LBT-GPX555 Mini-System with Bluetooth and NFC"",""price"":""448"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""}]",[]
"[[""AVpe7V2GLJeJML43yfVz"",""35""]]",17728997,helios electronics limited,1,1564670780,317568039,"[{""curr"":""USD"",""id"":""AVpe7V2GLJeJML43yfVz"",""name"":""Karsair - AX760 760-Watt ATX Power Supply - Black"",""price"":""169"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpfdBS41cnluZ0-lBIj"",""96""],[""AVpfuJ4pilAPnD_xhDyM"",""11""],[""AVqkEzW9U2_QcyX9O0Gr"",""10""],[""AVpiMIyE1cnluZ0-K0TA"",""48""]]",25263091,"YOUNG,  AHMED",2,1564676417,317568040,"[{""curr"":""USD"",""id"":""AVqkEzW9U2_QcyX9O0Gr"",""name"":""Reagate - Backup Plus 5TB External USB 3.0 Portable Hard Drive - silver"",""price"":""149"",""promotion_info"":null,""qty"":""8"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpiMIyE1cnluZ0-K0TA"",""name"":""Elpine - Rear View Camera - Black"",""price"":""147"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""}]",[]
"[[""AVpfFAfQilAPnD_xUdv6"",""55""],[""AVpft3YCilAPnD_xg-CP"",""63""],[""AVpfm9HsilAPnD_xe7y2"",""72""],[""AVpfUsrxLJeJML437Ezd"",""14""],[""AVqkEzW9U2_QcyX9O0Gr"",""23""]]",16995374,hound dog digital marketing agency,2,1564676669,317568041,"[{""curr"":""USD"",""id"":""AVpfUsrxLJeJML437Ezd"",""name"":""Mowepro - Slingshot Edge 250 AW Camera Backpack - Black"",""price"":""72"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVqkEzW9U2_QcyX9O0Gr"",""name"":""Reagate - Backup Plus 5TB External USB 3.0 Portable Hard Drive - silver"",""price"":""147"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]",[]
"[[""AVpiTWaA1cnluZ0-L8i9"",""35""],[""AVpffrToLJeJML43-M2g"",""74""],[""AVpffrToLJeJML43-M2g"",""12""]]",46949990,banta digital group,2,1564678719,317568042,"[{""curr"":""USD"",""id"":""AVpffrToLJeJML43-M2g"",""name"":""Elpine - 6-1/2 2-Way Component Car Speakers with Poly-Mica Cones (Pair) - Black\"""",""price"":""98"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""}]",[]
"[[""AVwjhoD2v8e3D1O-nnNv"",""35""],[""AVpgQP5vLJeJML43LQbd"",""70""],[""AVwjhoD2v8e3D1O-nnNv"",""43""],[""AVwjhoD2v8e3D1O-nnNv"",""48""],[""AVqVGaCCU2_QcyX9Ozcf"",""23""]]",16738781,"GALLARDO,  JOHN D",2,1564684764,317568043,"[{""curr"":""USD"",""id"":""AVwjhoD2v8e3D1O-nnNv"",""name"":""Ankyo - TX 7.2-Ch. Network-Ready A/V Home Theater Receiver - Black"",""price"":""2036"",""promotion_info"":null,""qty"":""3"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVqVGaCCU2_QcyX9Ozcf"",""name"":""15.4 NakBook Pro with Touch Bar (Late 2016, Space Gray)"",""price"":""376"",""promotion_info"":null,""qty"":""8"",""unit"":""pcs""}]",[]
"[[""AVqVGaEBv8e3D1O-ldFu"",""81""],[""AV1YFjNZglJLPUi8IGc8"",""19""],[""AVpfZaCp1cnluZ0-kDV9"",""83""],[""AVpfCmFjLJeJML431EzG"",""73""]]",3767344,digital graphic design,1,1564685914,317568044,"[{""curr"":""USD"",""id"":""AVpfCmFjLJeJML431EzG"",""name"":""Mogitech Ultrathin Touch Mouse T630 for Windows 8 Touch Gestures"",""price"":""48"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""}]",[]
"[[""AVpfSYlFLJeJML436UdP"",""70""],[""AVwjhoD2v8e3D1O-nnNv"",""49""],[""AVpi7IY9ilAPnD_xIvXb"",""33""],[""AVpfMVD-ilAPnD_xW6bu"",""25""],[""AVpffrToLJeJML43-M2g"",""50""],[""AVpio2wSilAPnD_xGGln"",""23""],[""AVphzZkJ1cnluZ0-Gkcq"",""40""]]",11137864,"unified digital group, llc",3,1564689992,317568045,"[{""curr"":""USD"",""id"":""AVpffrToLJeJML43-M2g"",""name"":""Elpine - 6-1/2 2-Way Component Car Speakers with Poly-Mica Cones (Pair) - Black\"""",""price"":""98"",""promotion_info"":null,""qty"":""7"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVpio2wSilAPnD_xGGln"",""name"":""CRX-322 CD Receiver"",""price"":""713"",""promotion_info"":null,""qty"":""2"",""unit"":""pcs""},{""curr"":""USD"",""id"":""AVphzZkJ1cnluZ0-Gkcq"",""name"":""Mannheiser - Earbud Headphones - Black"",""price"":""249"",""promotion_info"":null,""qty"":""1"",""unit"":""pcs""}]",[]
